Name,Date,Site,Transect,Aux3,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
G0824792.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824797.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824800.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824804.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824808.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824812.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824815.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824818.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824821.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0824825.JPG,06-05-16,7,1,,,,30,,,50,,,,,,,
G0834831.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834836.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834841.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834844.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834851.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834854.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834860.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834864.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834869.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0834873.JPG,06-05-16,7,2,,,,30,,,50,,,,,,,
G0844877.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844883.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844887.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844891.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844899.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844904.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844912.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844918.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844924.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0844926.JPG,06-05-16,7,3,,,,30,,,50,,,,,,,
G0854932.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854937.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854941.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854944.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854948.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854951.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
G0854956.JPG,06-05-16,7,4,,,,30,,,50,,,,,,,
