name,functional_group,Label
CRED-Galaxea_spp,hard_coral,*GASP
CRED-Goniastrea_spp,hard_coral,*GONS
CRED-Goniopora/Alveopora_spp,hard_coral,*GOAL
CRED-Heliopora_spp,hard_coral,*HCOE
CRED-Hydnophora_spp,hard_coral,*HYSP
CRED-Isopora_spp,hard_coral,*ISSP
CRED-Leptastrea_spp,hard_coral,*LEPT
CRED-Leptoria_spp,hard_coral,*LPHY
CRED-Leptoseris_spp,hard_coral,*LESP
CRED-Lobophyllia_spp,hard_coral,*LOBS
CRED-Massive_hard_coral,hard_coral,*MASS
CRED-Merulina_spp,hard_coral,*MESP
CRED-Millepora_spp,hard_coral,*MISP
CRED-Montastraea_spp,hard_coral,*MONS
CRED-Montipora_spp_branching,hard_coral,*MOBR
CRED-Montipora_spp_encrusting,hard_coral,*MOEN
CRED-Montipora_spp_foliose,hard_coral,*MOFO
CRED-Oulophyllia_spp,hard_coral,*OUSP
CRED-Pachyseris_spp,hard_coral,*PACS
CRED-Pavona_spp_encrusting,hard_coral,*PAEN
CRED-Pavona_spp_foliose,hard_coral,*PAFO
CRED-Pavona_spp_massive,hard_coral,*PAMA
CRED-Platygyra_spp,hard_coral,*PLSP
CRED-Plerogyra_spp,hard_coral,*PLER
CRED-Pocillopora_spp,hard_coral,*POCS
CRED-Porites_spp_branching,hard_coral,*POBR
CRED-Porites_spp_encrusting,hard_coral,*POEN
CRED-Porites_spp_foliose,hard_coral,*POFO
CRED-Porites_spp_massive,hard_coral,*POMA
CRED-Psammocora_spp,hard_coral,*PSSP
CRED-Stylophora_spp,hard_coral,*STYS
CRED-Symphyllia_spp,hard_coral,*SYSP
CRED-Turbinaria_spp,hard_coral,*TURS
CREP-T1_Coral,hard_coral,*CORAL
CREP-T2_Non-Scleractinian,hard_coral,*NS
CREP-T2_Tabulate_hard_coral,hard_coral,*TAB
CREP-T3a_Lobophyllia/Symphyllia_spp,hard_coral,*LOSY
CREP-T3a_Montipora_spp_non-encrusting,hard_coral,*MONE
CREP-T3a_Pavona_spp,hard_coral,*PAVS
CREP-T3a_Platygyra/Leptoria_spp,hard_coral,*PLLE
CREP-T3a_Porites_spp_non-massive,hard_coral,*POMN
Ctenactis,hard_coral,Cten
Culicia_tenella,hard_coral,CuTen
Cycloseris_curvata,hard_coral,CycCur
Cycloseris_vaughani,hard_coral,CyVau
Cynarina,hard_coral,Cyna
